"organid"	"sentence"
"Part01_020WIJKB"	"Het wellenbord (HW) is nog van Kiespenning, door Verhofstadt aan de nieuwe omvang aangepast."
"Part01_020WIJKB"	"Pijpwerk van Kiespenning is te vinden in de volgende registers: HW Prestant 8', Roerfluit 8', Octaaf 4', Fluit 4', Quint 3', Octaaf 2', Mixtuur, Trompet 8; BoW Holpijp 8', Roerfluit 4', Octaaf 2', Sifflet 1'."
"Part01_020WIJKB"	"Alle bovengenoemde registers werden gecompleteerd door Verhofstadt."
"Part01_020WIJKB"	"Grotendeels van diens hand is de Sexquialter (HW)."
"Part01_021ENKHU"	"De windladen en mechanieken van hoofd- en bovenwerk zijn van 1799, de pedaallade is van 1688, de klaviatuur van 1799."
"Part01_021ENKHU"	"Opmerkelijk is de ligging van de pedaallade: boven in de grote kas."
"Part01_021ENKHU"	"Pijpwerk uit de 16e en vroege 17e eeuw bevindt zich in de volgende registers: HW Holfluit 8', Octaaf 4', Fluit 4', Gemshoorn 2'; Ped Bordon 16'."
"Part01_021ENKHU"	"Het 16e-eeuwse bestand bevat zowel pijpen van Jan van Covelens als van Henrick Niehoff."
"Part01_021ENKHU"	"De rugwerkregisters zijn - op de nieuwe Octaaf 2' na - alle van Freytag."
"Part01_021ENKHU"	"Dit geldt ook voor de front-Prestant van het hoofdwerk."
"Part01_021ENKHU"	"Het pedaal bevat een Prestant 8' uit 1688 en een Trompet 8' uit 1850."
"Part01_022DENBO"	"In het huidige orgel wordt pijpwerk uit verschillende tijden aangetroffen. 17e eeuw: HW Praestant 16', Bourdon 16', Holpyp 8', Octaaf 4', Super Octaaf 2'; RP Praestant 8', Octaaf 4', Super Octaaf 2', Flageolet 1'; BW Praestant 8', Octaaf 4', Cornet (laagste koor); Ped Praestant 32'. 18e eeuw: HW Praestant 8', Tertiaan 3 1/5', Quint 3', Mixtuur, Trompet 16', Trompet 8'; RP Quintadena 8', Fluyt dous 4', Mixtuur, Trompet 8', Dulciaan 8'; BW Quintadena 16', Roerfluyt 8', Viola di Gamba 8', Sexquialter, Carillon, Cornet (overige koren), Trompet 8', Vox Humana 8'; Ped Octaaf 4', Bazuin 16', Trompet 8', Clairon 4'. 19e eeuw: BoW Hautbois 8'; Ped Bourdon 16', Gedekt 8'."
"Part01_022DENBO"	"De rest van het pijpwerk is nieuw."
"Part01_023LEIDE"	"De drie belangrijkste bouwstadia van het orgel, te weten van Van Bilsteyn(?) (1446), Van Covelens (1518) en Van Hagerbeer (1643) zijn in het pijpwerk terug te vinden."
"Part01_023LEIDE"	"Uit 1446 dateren pijpen van de Prestant 16', Prestant 8', Octaaf 4' en Mixtuur (alle HW), uit 1518 bleven aanzienlijke delen van een Holpijp 8' en een Gemshoorn 2' bewaard alsmede prestantpijpen in Octaaf 4', Octaaf 2' en Mixtuur (RP)."
"Part01_023LEIDE"	"Van Hagerbeer-pijpwerk is op grote schaal aanwezig in alle prestanten van hoofd-, rug- en bovenwerk alsmede in vele fluitregisters van het bovenwerk."
"Part01_023LEIDE"	"Van de Trompet 8' (RP) en de Trompet 16' (Ped) zijn nog Van Hagerbeer- of Duyschotkelen aanwezig."
"Part01_023LEIDE"	"Van Johannes Duyschot resteren de Mixtuur (RP) en de Vox Humana (BW) en van Pieter Assendelft de Cornet (RP)."
"Part01_023LEIDE"	"De onder- en bovenladen van rug- en bovenwerk zijn van Van Hagerbeer."
"Part01_024MIDWO"	"Deling B/D tussen c1 en cis1."
"Part01_024MIDWO"	"Het pijpwerk heeft de volgende herkomst: Holpijp 8' De Mare/De Graaf; Prestant 4' De Mare/Van Hagerbeer; Octaaf 2' hoofdzakelijk Eekman; Quint 1 1/2' De Mare/De Graaf; Nasard 1 1/2' hoofdzakelijk De Mare; Mixtuur Eekman/De Graaf; Sesquialter De Mare/De Graaf."
"Part01_025PEIZE"	"De frontpijpen van het hoofdwerk zijn 17e-eeuws, die van het rugpositief zijn van Hinsz."
"Part01_025PEIZE"	"De HW-registers bevatten vrijwel alle zowel pijpwerk van Verbeeck als van Hinsz, uitgezonderd de (nieuwe) Quint 3'."
"Part01_025PEIZE"	"Hetzelfde geldt voor het Rp, zij het dat het Hinsz-aandeel daar iets groter is."
"Part01_025PEIZE"	"Hier zijn de Scherp en Vox Humana 8' nieuw."
"Part01_025PEIZE"	"Het pedaal is geheel van Schnitger."
"Part01_026GRON"	"Van dit orgel bleven de volgende onderdelen bewaard: kassen, front, klaviatuur inclusief klavierbeleg (1635/1645), registertrekkers- en knoppen en mechaniekresten."
"Part01_027NOORD"	"De volgende registers zijn geheel of gedeeltelijk van 17e-eeuwse oorsprong: HW Praestant 8', Roerfluit 8', Octaaf 4', Mixtuur, Trompet 8'; RP Holpijp 8', Praestant 4', Roerfluit 4'; Ped Praestant 8', Octaaf 4', Bazuin 16', Cornet 4'."
"Part01_029ZUTPH"	"Bader-pijpwerk bevindt zich in alle HW-registers behalve de Fagot 16' en Trompet 8', in alle RP-registers behalve de Kromhoorn 8', in de Prestant 8' (BW) en in de Prestant 16', Octaaf 8', Octaaf 4' (alle Ped)."
"Part01_029ZUTPH"	"Alle windladen zijn van Timpe."
"Part01_030ALKMA"	"In z'n algemeenheid zijn de fundamentregisters (16' t/m 2') door Schnitger uit het Van Hagerbeer-orgel overgenomen."
"Part01_030ALKMA"	"Vrijwel alle hogere registers alsmede de tongwerken zijn van Schnitger (exclusief de bekers van de Trompet 8' RP)."
"Part01_030ALKMA"	"De frontpijpen van het rugwerk zijn van Strumphler."
"Part01_030ALKMA"	"De windladen alsmede de gehele technische aanleg zijn van Schnitger."
"Part01_031CUIJK"	"Deling B/D tussen c1 en cis1."
"Part01_031CUIJK"	"De registers van het hoofdwerk zijn geheel of grotendeels oud, uitgezonderd de Tiers 1 3/5'."
"Part01_031CUIJK"	"Op het RP zijn de Holpijp 8', de Nazatt 3' en de Quintfluit 1 1/2' oud, de overige registers zijn (grotendeels) nieuw."
"Part01_031CUIJK"	"Op het pedaal is de Claron 4' uit 1955 gehandhaafd."
"Part01_032AMDAM"	"Pedaal: voor c1, cis1, d1 en e1 zelfstandig laadje met dezelfde dispositie als het Zijwerk."
"Part01_032AMDAM"	"De slepen worden geopend bij bediening van gelijknamige registers van het Zijwerk."
"Part01_033ZEERI"	"Ped is permanent aangehangen aan het HW."
"Part01_034MAAST"	"Uit de 17e eeuw dateren de volgende registers: GO Bourdon 16', Montre, Bourdon 8', Prestant, Flûte, Doublette, Tierce, Cornet; Pos Bourdon, Prestant, Flûte, Doublette, Cromorne D; Echo Doublette; Ped Flûte 8', Clairon 4'."
"Part01_034MAAST"	"Uit de 19e eeuw: GO Viola di Gamba 8', Trompette, Clairon; Pos Cromorne B; Echo Prestant, Chalumeau; Ped Soubasse, Bombarde, Trompette."
"Part01_035AMDAM"	"De door Schonat toegepaste springladen trotseerden de eeuwen en zijn daarmee de enige in nederland die nog functioneren."
"Part01_035AMDAM"	"Van Jacobus van Hagerbeer en Roelof Barentsz Duyschot bleven de lade van het bovenwerk en de bovenlade van het rugwerk bewaard, eveneens springladen."
"Part01_035AMDAM"	"De nieuwe Cornet plaatsten zij op een kleine sleeplade."
"Part01_035AMDAM"	"Dit gebeurde ook met de Scherp en Nasard 1 1/3' van het bovenwerk."
"Part01_035AMDAM"	"Van Van Hagerbeer/Duyschot zijn het complete bovenwerk, de Superoctaaf 2', Openfluit 4', Quintfluit 3', Openfluit 2', Sexquialter en Cornet van het rugwerk."
"Part01_035AMDAM"	"Bovendien voorzagen zij de Schonat-pijpen van vele dubbelkoren."
"Part01_035AMDAM"	"Van Bätz zijn de Dulciaan 16' en Trompet 8' (beide HW) en Roerquint 6' (Ped)."
"Part01_035AMDAM"	"Alle overige registers zijn van Schonat."
"Part01_036DRONR"	"In het orgel bleven veel registers van Baders bewaard."
"Part01_036DRONR"	"Op het hoofdwerk: Bourdon 16', Prestant 8', Baarpijp 8', Octaaf 4', Fluit 4', Octaaf 2', Mixtuur en Trompet 8'."
"Part01_036DRONR"	"Op het rugwerk: Holpijp 8', Prestant 4', Fluit 4' en Woudfluit 2'."
"Part01_036DRONR"	"Oorspronkelijk was het rugwerk een onderwerk en bevond de klaviatuur zich aan de achterzijde."
"Part01_036DRONR"	"De fronten waren aanvankelijk van luiken voorzien."
"Part01_036DRONR"	"De vleugelstukken aan de grote kas dateren uit ca 1930."
"Part01_037SASSE"	"De historisch belangrijke registers van dit orgel zijn de volgende: Gedekt 8', Prestant 4' (front), Roerfluit 4', Octaaf 2', Mixtuur (drie koren) en Cornet 5 st."
"Part01_037SASSE"	"Al deze registers zijn van Goltfus, behalve de Cornet die Duyschot-factuur vertoont."
"Part01_037SASSE"	"Windladen, mechanieken en klaviatuur werden nieuw gemaakt."
"Part01_038AMDAM"	"Bij de bouw van een orgel in de Groene of Willibrorduskerk te Oegstgeest door Metzler & Söhne in 1977 werd mede gebruik gemaakt van het pijpwerk van 1658 en ouder, afkomstig uit dit orgel."
"Part01_038AMDAM"	"Het werd aangekocht van de Gereformeerde Osterkerk te Aalten."
"Part01_039MARUM"	"Het metalen pijpwerk van de Bourdon 16' en de Holpijp 8' zijn ouder dan 1890."
"Part01_040BLESS"	"Uit de 17e eeuw dateren de volgende registers: Holpijp 8' (ged.), Prestant 4' en Woudfluit 2' (= oude Octaaf 2')."
"Part01_040BLESS"	"De Fluit does 4' is in 1789 samengesteld uit 17e-eeuwse pijpen van vooral de Fluit 2'."
"Part01_040BLESS"	"De Quint 3' is vrijwel volledig van Schwartsburg uit 1738."
"Part01_040BLESS"	"De Viola di Gamba D 8' bevat vermoedelijk pijpen uit 1790."
"Part01_040BLESS"	"De mensuur doet vermoeden dat in 1809 de pijpen van de Prestant D 8' zijn omgentoneerd tot Viola di Gamba D 8'."
"Part01_043MUIDE"	"Deling Bourdon 16' en Trompet 8' HW tussen d en dis."
"Part01_043MUIDE"	"Het oudste materiaal bevindt zich in de volgende registers: HW discant Holpijp 8', Roerfluit 4', Mixtuur; BW Principaal 8', Octaaf 2'."
"Part01_043MUIDE"	"Van later datum doch ouder dan de 19e eeuw zijn de andere prestant-registers."
"Part01_044TZAN"	"De meeste HW- en RP-registers bevatten pijpwerk uit 1662 met aanvullingen uit 1792."
"Part01_044TZAN"	"Op het HW is de Fluit 4' compleet uit 1792 en de Trompet deels uit ca 1740, deels uit 1792; de Mixtuur is nieuw."
"Part01_044TZAN"	"De Woudfluit 2' en Dulciaan 8' op het RP zijn uit 1792, de Sesquialter en Scherp werden in 1990 nieuw gemaakt."
"Part01_045EDAM"	"De beide windladen van het hoofdwerk zijn van Verhofstadt (1716)."
"Part01_045EDAM"	"De lade van het rugwerk is van Smit (1663) en mist cancellen voor Cis, Dis, Fis en Gis."
"Part01_045EDAM"	"Pijpwerk uit 1663 bevindt zich hoofdzakelijk in de volgende registers: HW Prestant 8', Roerfluit 8', Octaaf 4', Quint 3' en Octaaf 2'; RP Prestant 4', Roerfluit 4' en Octaaf 2'."
"Part01_045EDAM"	"Pijpwerk uit 1716 is vooral aanwezig in: HW Bourdon 16'; RP Holpijp 8' en Quint 3'."
"Part01_048EINDH"	"Het pijpwerk stamt uit de 17e, 18e, 19e en 20e eeuw."
"Part01_049KANTE"	"Alle stemmen zijn gedeeld tusen e1 en f1."
"Part01_049KANTE"	"De meeste registers bevatten ononderbroken reeksen oud pijpwerk."
"Part01_049KANTE"	"De Sifflet en Trompet waren geheel verdwenen."
"Part01_050MEDEM"	"Op het hoofdwerk zijn de registers Roerfluit 8', Trompet 8', Holpijp 8' (omgewerkte Quintadeen) en Cornet uit later tijd, de overige stemmen zijn uit 1671."
"Part01_050MEDEM"	"De RP-registers zijn geheel uit 1785."
"Part01_050MEDEM"	"Op het BoW is de Gedektfluit 4' van later, de rest kan op 1671 gedateerd worden."
"Part01_050MEDEM"	"Regaal (BoW) geheel uit perehout gedraaid, kop en schalbeker uit één stuk hout."
"Part01_050MEDEM"	"Enige register van deze soort in Nederland."
"Part01_051BOXUM"	"In het rugpositief zijn vier registers samengesteld uit pijpwerk van 1675, te weten Holpijp 8', Prestant 4', Fluit 4' en Woudfluit 2'."
"Part01_051BOXUM"	"Op het hoofdwerk is het merendeel van het pijpwerk uit 1798."
"Part01_052DORDR"	"Het hoofdwerk is voorzien van Barkerhefbomen."
"Part01_053BOXME"	"In 1959 is al het oude pijpwerk verwijderd."
"Part01_054ADAM"	"Het luik in de zoldering van de pedaalkas (1734) kan met een touw worden bediend."
"Part01_054ADAM"	"Müller nam uit het orgel van Langlez de volgende registers over: RP Holpijp 8' en Octaaf 4'; Ped Bourdon 16', Octaaf 8', Octaaf 4' en Roerquint 6'."
"Part01_054ADAM"	"Alle windladen zijn van Müller."
"Part01_055STEEN"	"Volgens Hess 1815 voegde J.P. Schmidt in 1806 een onderpositief toe."
"Part01_055STEEN"	"De juistheid van dit gegeven moet echter sterk betwijfeld worden."
"Part01_055STEEN"	"In 1867 haalde Kerkhoff het orgel uit de nis en plaatste het in de balustrade, waardoor het instrument lager gemaakt (""ingekort"") moest worden."
"Part01_055STEEN"	"Bij de uitvoering van dit werk vernieuwde hij de klaviatuur."
"Part01_055STEEN"	"Men mag aannemen dat Van Oeckelen het orgel in 1834 in de nieuwe kerk enigszins achter de boog had gezet."
"Part01_055STEEN"	"Kerkhoff meende terecht dat plaatsing in de balustrade gunstig zou zijn voor de klankuitstraling."
"Part01_055STEEN"	"Daarvoor moest hij de klaviatuur van de voorzijde naar de achterzijde verplaatsen."
"Part01_055STEEN"	"Veel pijpwerk is van oorsprong 17e-eeuws (Metzker), nl. delen van de Prestant 8', Holpijp 8', Gemshoorn 4', Quintprestant 3', Blokfluit 2', Octaaf 1', Sexquialter en Cornet."
"Part01_055STEEN"	"Van Moreau resteren delen van de Prestant 8', Octaaf 4', Octaaf 2' en Trompet 8'."
"Part01_055STEEN"	"Van Schmidt zijn delen van de Holpijp 8' en de Trompet 8' bewaard."
"Part01_056WOUDR"	"De Vox Humana 8' is een oud, van elders afkomstig register van een onbekende bouwer (J.H.H. Bätz?)."
"Part01_058DIRKS"	"De Cornet is het enige overgebleven Vlaamse register."
"Part01_059NIEZI"	"De Prestant 8' (binnenpijpen) en Octaaf 2' bevatten 17e-eeuwse reeksen."
"Part01_059NIEZI"	"De rest van het pijpwerk is hoofdzakelijk van 1870 en gedeeltelijk ook van 1820."
"Part01_059NIEZI"	"Er zijn loze registerknoppen voor Prestant 4', Mixtuur 3 st. en Vox Humana 8'."
"Part01_060BOVEN"	"Uit 1684 zijn de volgende registers bewaard: Holpijp 8', Prestant 4', Speelfluit 4', Quintfluit 3' en Octaaf 2'."
"Part01_061ADAM"	"Het frontpijpwerk is van de hand van Knipscheer."
"Part01_061ADAM"	"Pijpwerk uit 1686 bevindt zich verspreid over vele registers in het orgel."
"Part01_061ADAM"	"Als de meest complete Duyschot-registers kunnen aangemerkt worden: HW Octaaf 8', Quintadeen 8' en Octaaf 4'; RP Holpijp 8', Quintadeen 8' en Fluyt 4'; Ped Octaaf 4'."
"Part01_061ADAM"	"Op het BW bleef in alle registers Vater-pijpwerk bewaard, behalve in de Baarpijp 8' en de Dulciaan 8'."
"Part01_063HEESB"	"De oude frontpijpen bleven bewaard."
"Part01_064VOLLE"	"De windladen van het hoofdwerk zijn van Apollonius Bosch, die van het rugwerk werd door Frans Caspar Schnitger gemaakt."
"Part01_064VOLLE"	"De volgende registers zijn hoofdzakelijk van Bosch: HW Prestant 8', Bourdon 8, Octaaf 4', Octaaf 2', Mixtuur en Cornet; RP Holpijp 8', Prestant 4' en Gedekte fluit 4'."
"Part01_064VOLLE"	"De Schnitger-registers zijn: HW Trompet 8'; RP Octaaf 2', Woudfluit 2' en Dulciaan 8'."
"Part01_064VOLLE"	"De Fluit 2' (HW) is in Duyschot-factuur."
"Part01_067GRONI"	"Registerknoppen RP zijn aangebracht in RP-kas."
"Part01_067GRONI"	"De frontpijpen zijn van Van Oeckelen."
"Part01_067GRONI"	"In het binnenpijpwerk is bevindt zich veel oud materiaal van Schnitger en Hinsz."
"Part01_067GRONI"	"Een enkel register (met name RP Fluit 4') is uit 1627."
"Part01_069HARKS"	"Oud pijpwerk: Holpijp 8', Quint 3', Octaaf 2' en Mixtuur D."
"Part01_070H-I-A"	"De windladen van hoofd- en bovenwerk zijn nog van Duyschot."
"Part01_070H-I-A"	"De meeste registers bevatten origineel pijpwerk."
"Part01_070H-I-A"	"Geheel nieuw zijn op het hoofdwerk: Quintfluit 3' en Trompet 8', op het bovenwerk: Quint 1 1/2', Tertiaan en Vox Humana 8'."
"Part01_071NOORD"	"Alle frontpijpen zijn van de hand van Freytag."
"Part01_071NOORD"	"Het pijpwerk op het hoofdwerk is grotendeels van Schnitger, uitgezonderd de discant van de Quint 3' (vóór Schnitger) en de Quintadeen 16' en Vox Humana 8' (beide Hinsz)."
"Part01_071NOORD"	"Op het rugwerk zijn de Fluit douce 8' en Spitsfluit 4' van Schnitger of later, de Octaaf 2', Sexquialter en Scherp zijn nieuw."
"Part01_071NOORD"	"Het pedaal is geheel van Schnitger, met uitzondering van de door Freytag gemaakte Gedekt 8', die de vroegere Mixtuur verving."
"Part01_072WORKU"	"In acht registers is nog oud pijpwerk aanwezig."
"Part01_075MENSI"	"De volgende Schnitger-registers bleven bewaard: Holpijp 8', Octaaf 4', Quint 3', Octaaf 2' en Trompet 8'."
"Part01_075MENSI"	"De Prestant 8' (grotendeels) en Fluit 4' werden door Hinsz vervaardigd."
"Part01_075MENSI"	"Twee registers zijn van de hand van Lohman: de Viola di Gamba D 8' en de Salicionaal 4'."
"Part01_076NW-SC"	"Transpositie-inrichting naar a1 = 415 Hz."
"Part01_076NW-SC"	"De frontpijpen zijn van N.A. Lohman, de binnenpijpen van de Prestant 4' van Schnitger."
"Part01_076NW-SC"	"Overige Schnitger-registers zijn de Holpijp 8', Quint 3' en Octaaf 2'."
"Part01_076NW-SC"	"De Quintadena D 8' (waarin Lohman-materiaal verwerkt is), Mixtuur en Trompet 8' werden door Bernhardt Edskes gereconstrueerd."
"Part01_077ETTEN"	"Drie rijen van de Cornet alsmede een deel van de Octaaf 2' zijn nog van Zeemans."
"Part01_077ETTEN"	"Van Schmidts hand zijn de Holpijp 8', Prestant D 8', Prestant 4' en de rest van de Octaaf 2'."
"Part01_078ROOSE"	"De zesvoets orgelkas is al vele jaren leeg."
"Part01_078ROOSE"	"Er is geen enkele dispositie overgeleverd, ook niet door Broekhuyzen."
"Part01_080NIJME"	"Deling bas/discant tussen c1 en cis1."
"Part01_080NIJME"	"Nieuw zijn de Tierce, Quinte B en Sesquialter D. De rest van het pijpwerk is grotendeels oud."
"Part01_082HILVE"	"In vrijwel alle registers bevindt zich oud pijpwerk."
"Part01_082HILVE"	"Slechts de Flöte 4' is grotendeels nieuw."
"Part01_082HILVE"	"Windlade, mechanieken, windvoorziening, klaviatuur, registratuur alsmede de frontpijpen zijn geheel nieuw."
"Part01_083SCHIJ"	"Deling B/D tussen c1 en cis1."
"Part01_083SCHIJ"	"Uit de 17e en 18e eeuw dateren delen van de Bourdon 8', Prestant 4', Flûte 4', Nasard 3', Doublette 2' en Trompette 8'."
"Part01_083SCHIJ"	"De Flûte Traversière D 8' is van ca 1830."
