"organid"	"aids"	"pitch"	"temperature"	"range1"	"range2"	"windSys"	"windPres"	"consoleLoc"
"Part14_000CappelleadIJssel"	"koppelingen HW-BW, Ped-HW, Ped-BW
tremblant HW, tremblant BW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-d1"	"magazijnbalg met twee schepbalgen (1904)"	"mm"	"rechterzijde"
"Part14_000EckenWiel"	"pedaalkoppel
tremulant"	"a1 = 449 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"73 mm"	"linkerzijde"
"Part14_000UithuizenRK"	"koppel klav. koppel I-Ped, koppel II-Ped
vaste combinaties P MF T O"	"a1 = 4.. Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en balanstrapinstallatie (1908) en twee regulateurs"	"mm"	"vrijstaande speeltafel dwars naast de linker kas"
"Part14_000Delfstrahuizen"	"ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg met twee schepbalgen en handpomp (1909)"	"74 mm"	"linkerzijde"
"Part14_000Loosduinen"	"Swell to Great, Great to Pedal, Swell to Pedal, tremulant Swell, trede Swell"	"a1 = 442 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"drie regulateurs"	"Great/Pedal 70 mm, Swell 72 mm"	"linkerzijde"
"Part14_000WijkaanZee"	"koppelingen HW-NW, Ped-HW, Ped-NW
drie vaste combinaties
trede crescendokast"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg met één regulateur voor HW en NW"	"hoofdbalg en Ped 90 mm, HW en NW 77 mm"	"linkerzijde"
"Part14_000Oostkapelle"	"pedalkoppel
tutti
trede zwelkast Man"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg (1903)"	"88 mm"	"rechterzijde"
"Part14_000Harmelen"	"manuaalkoppel
pedaalkoppel (naar keuze aan I of II)
ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen (1902)"	"80 mm"	"linkerzijde"
"Part14_000Heerenhoek"	"koppelingen HW-BW, Ped-HW, Ped-BW
trede zwelkast BW
ventiel"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee regulateurs"	"HW en BW 78 mm, Ped 88 mm"	"linkerzijde (mechanisch), vrijstaande speeltafel (elektrisch)"
"Part14_000Leerdam"	"pedaalkoppel"	"a1 = 441 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"magazijnbalg met twee schepbalgen (1903)"	"77 mm"	"rechterzijde"
"Part14_000Peperga"	"pedaalkoppel
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen (1903)"	"82 mm"	"linkerzijde"
"Part14_000Delft"	"koppelingen Swell to Great, Great to Pedal, Swell to Pedal
trede Swell
drie vrije combinaties
tremulant Great, tremulant Swell"	"a1 = 440 Hz"	"evenredig zwevend"	"C-c4"	"C-f1"	"magazijnbalg met twee regulateurs"	"79 mm"	"rechterzijde"
"Part14_000Zeist-HuisterHeide"	""	"a1 = 442 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en balanstrapinstallatie (1904)"	"90 mm"	"rechterzijde"
"Part14_000Bergeijk"	"koppelingen HW-BW, Ped-HW, Ped-BW
trede crescendokast BW"	"a1 = 437 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg"	"80 mm"	"rechterzijde"
"Part14_000Hantumhuizen"	"tremulant
ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en handpomp (1907)"	"68 mm"	"linkerzijde"
"Part14_000Meddo"	"koppel klav
windlosser"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-f"	"magazijnbalg (1906)"	"75 mm"	"rechterzijde"
"Part14_000Hierden"	"koppelingen HW-BW, Ped-HW, Ped-BW
tremulant BW"	"a1 =  436 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en balanstrapinstallatie (1903)"	"73 mm"	"rechterzijde"
"Part14_000Drachten"	"koppelingen HW-BW, Ped-HW, Ped-BW
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg (1904?)"	"65 mm"	"linkerzijde"
"Part14_000TilburgGoirke"	"koppelingen I-I 4', I-II, I-II 16', Ped-I, Ped-II
zeven vaste combinaties 
generaal crescendo in 14 stappen
tremulant II
calcant
trede zwelkast II
trede voor generaal crescendo"	"a1 = 438 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"twee magazijnbalgen met drie regulateurs en trapinstallatie (1905)"	"HW 98 mm, ZwW 103 mm, Ped 118 mm"	"vrijstaande speeltafel midden tussen de beide kassen"
"Part14_000SintAnnaparochie"	"pedaalkoppel
tremolo"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen (1906)"	"85 mm"	"linkerzijde"
"Part14_000Hilversum"	"Réc unison (manuaalkoppel), Réc Octave Grave, Tirasse Rée, Tirasse GO
tremolo
anches
montre
expression"	"a1 = 438 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg (1910)"	"103 mm"	"vrijstaande speeltafel midden voor het orgel"
"Part14_000Meedhuizen"	""	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	""	"magazijnbalg met twee schepbalgen en handpomp (1906)"	"70 mm"	"rechterzijde"
"Part14_000Sibrandaburen"	"ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg met twee schepbalgen en handpomp (1903)"	"mm"	"rechterzijde"
"Part14_000Hollandscheveld"	"manuaalkoppel, pedaalkoppel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen (1910)"	"75 mm"	"rechterzijde"
"Part14_000Groede"	"windlosser"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg met enkele vouw"	"73 mm"	"linkerzijde"
"Part14_000Lutten"	"koppelingen HW-NW, Ped-HW, Ped-NW
tremulant
calcant"	"a1 =  435"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg met inspringende vouw"	"68 mm"	"rechterzijde"
"Part14_000NieuwegeinRK"	"koppelingen HW-NW, Ped-HW, Ped-NW
piano (= tremulant)
trede crescendokas gehele orgel"	"a1 = 438 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en één regulateur"	"85 mm"	"vrijstaande speeltafel midden voor het orgel"
"Part14_000Oudegagaast"	"ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg met twee schepbalgen en handpomp (1909)"	"70 mm"	"linkerzijde"
"Part14_000HeegRK"	"koppel B/D
trede zwelkast
ventiel (buiten gebruik)"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	""	"magazijnbalg met twee schepbalgen en handpomp en regulateur (1904)"	"87 mm"	"vrijstaande speeltafel midden voor het orgel"
"Part14_000Suameer"	"ventiel"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg met twee schepbalgen en handpomp (1907)"	"75 mm"	"linkerzijde"
"Part14_000Roermond"	"koppelingen HW-BW, Ped-HW, Ped-BW
tremulant BW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg met schokbalgje voor BW"	"80 mm"	"voorzijde"
"Part14_000Waarder"	"pedaalkoppel
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"zwemmerbalg"	"76 mm"	"rechterzijde"
"Part14_000AmsterdamOost"	"koppelingen I-II, II-II 4', Ped-I, Ped-II
tremolo II"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg met twee schepbalgen en drie regulateurs"	"Man I 85 mm, Man II 75 mm, Ped niet gemeten"	"vrijstaande speeltafel"
"Part14_000VelpNPB"	"koppelingen I-II, Ped-I, Ped-II
vaste combinaties p - mf - f  -tutti - oplosser
tremulant"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met één schepbalg (1909)"	"90 mm"	"linkerzijde"
"Part14_000TilburgMaranatha"	"calcant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"68 mm"	"rechterzijde"
"Part14_000Noordbergum"	"ventiel"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg met twee schepbalgen en handpomp (1907)"	"70 mm"	"linkerzijde"
"Part14_000Oldeholtwolde"	"ventiel"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg met twee schepbalgen en handpomp (1905)"	"70 mm"	"linkerzijde"
"Part14_000Middenbeemster"	"koppelingen HW-BW, Ped-HW, Ped-BW
Céleste (=Tremulant BW)
calcant
ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3"	"C-d1"	"magazijnbalg met twee schepbalgen en balanstrapinstallatie (1908)"	"72 mm"	"linkerzijde"
"Part14_000Lochem"	"koppelingen manuaalkoppel, pedaalkoppel I, pedaalkoppel II
tremulant"	"a1 = 442 Hz"	"Neidhardt I"	"C-f3"	"C-d1"	"magazijnbalg"	"70 mm"	"linkerzijde"
"Part14_000Zwolle"	"koppelingen HW-DW, Ped-HW, Ped-DW
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg (1907)"	"79 mm"	"rechterzijde"
"Part14_000Borne"	"koppelingen I+II, Ped+I, Ped+II
vaste combinaties P, MF, F, T - oplosser"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"twee regulateurs"	"80 mm"	"vrijstaande speeltafel"
"Part14_000Schinveld"	"manuaalkoppel"	"a1 = 443 Hz"	"evenredig zwevend"	"C-f3"	"C-f"	"twee regulateurs"	"65 mm"	"voorzijde"
"Part14_000Oppenhuizen"	"manuaalkoppel, pedaalkoppel
tremulant
ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en handpomp (1909)"	"75 mm"	"linkerzijde"
"Part14_000GravenhageNoorderkerk"	"koppelingen I-II, I-II 16', I-II 4', Ped-I, Ped-II
automatisch pedaal (vrij instelbaar)
vaste combinaties P MF F Tutti
vrije combinatie.
tremulant II
trede zwelkast Man II"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"drie magazijnbalgen"	"HW en pneumatiek 110 mm, Ped 98 mm, ZwW 94 mm"	"voorzijde"
"Part14_000Hazerswoude"	"koppelingen (als treden): HW-NW, Ped-HW, Ped-NW
balanstrede voor crescendokast NW"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	""	"85 mm"	"rechterzijde"
"Part14_000Holwerd"	"ventiel"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en handpomp (1906)"	"mm"	"linkerzijde"
"Part14_000Edam"	"ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg met twee schepbalgen en handpomp (1903)"	"mm"	"rechterzijde"
"Part14_000WolvegaGer"	"koppelingen HW-NW, Ped-HW
tremulant NW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en handpomp (1910)"	"70 mm"	"rechterzijde"
"Part14_000Zwartewaal"	"manuaalkoppel, pedaalkoppel
tremulant
ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en handpomp (1902)"	"80 mm"	"linkerzijde"
"Part14_000Steenbergen"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-H"	"magazijnbalg met twee schepbalgen (1903)"	"84 mm"	"rechterzijde"
"Part14_000Balkdoopsgez"	"combinatietrede
ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg met twee schepbalgen en handpomp (1908)"	"75 mm"	"linkerzijde"
"Part14_000OosterwierumRK"	""	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	""	"magazijnbalg met twee schepbalgen en handpomp (1903)"	"87 mm"	"voorzijde"
"Part14_000Houten"	"manuaalkoppel, pedaalkoppel"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en twee regulateurs (1907)"	"87 mm"	"rechterkas"
"Part14_000Twijzel"	"tremulant
ventil"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg met twee schepbalgen en handpomp (1905)"	"mm"	"linkerzijde"
"Part14_000EindhovenKronenhoef"	"octaafkoppel
pedaalkoppel"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met schepbalg (ca 1900)"	"76 mm"	"vrijstaande speeltafel rechts naast het orgel"
"Part14_000IJsselstein"	"koppelingen I-II, I-II 16', II-II 16', Ped-I, Ped-II
vaste combinaties P MF F Tutti
automatisch pianopedaal
tongwerk af
tremolo II
trede zwelkast Man II"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-f1 (lade C-d1)"	"zes regulateurs (1908)"	"HW 82 mm, ZwW 93 mm, Ped Octaaf 8 en Bazuin 16 95 mm,  overige stemmen 98 mm"	"vrijstaande speeltafel midden voor beide kassen, de organist zit met het gezicht naar het orgel"
"Part14_000Zenderen"	"pedal-manualkoppel
registratur I, registratur II
vaste combinaties Piano - Forte - Tutti
bassaccent
trede voor Principal 8'"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-f"	"magazijnbalg (1908)"	"74 mm"	"vrijstaande speeltafel beneden in de kerkruimte"
"Part14_000Idsegahuizum"	"ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg met twee schepbalgen en handpomp (1908)"	"mm"	"linkerzijde"
"Part14_000IJhorst"	"koppelingen HW-BW, Ped-HW, Ped-BW
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"spaanbalg met een enkele vouw in bekisting"	"72 mm"	"linkerzijde"
"Part14_000Oldehove"	"tremulant (1971)
windlosser"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-a"	"magazijnbalg met twee schepbalgen en handpomp (1903)"	"80 mm"	"linkerzijde"
"Part14_000Hattem"	"manuaalkoppel, pedaalkoppel
tremulant
ventiel"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen (1909)"	"76 mm"	"rechterzijde"
"Part14_000Nieuwegein-Vreeswijk"	"manuaalkoppel, pedaalkoppel
tremulant DW
calcant (motorschakelaar)"	"a1 = 438 Hz"	"evenredig zwevend"	"C-g3"	"C-d1"	"magazijnbalg met enkele vouw"	"74 mm"	"rechterzijde"
"Part14_000Wassenaar"	"Soubasse 
Tirasses G.O, Recit 
Montre
Expressions G.O, Recit
Comb. Recit
Cop. au Ier Clav Rec. Uni, R.O.G."	"a1 = 438 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg en beweegbare ladebodems"	"GO 110 mm, Réc 86 mm"	"vrijstaande speeltafel midden voor het orgel"
"Part14_000Hertme"	""	"a1 = 438 Hz"	"evenredig zwevend"	"C-f3"	"C-f"	"magazijnbalg met één schepbalg (1904)"	"68 mm"	"rechterzijde"
"Part14_000Winterswijk"	"Koppel I Pedaal, Koppel II Pedaal, Koppel Klav.
vaste combinaties I, II, III - oplosser"	"a1 = 439 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg (1906) met pompinstallatie"	"88 mm"	"vrijstaande speeltafel midden voor het orgel"
"Part14_000Moddergat"	"tremulant"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg met twee schepbalgen en handpomp (1910)"	"70 mm"	"rechterzijde"
"Part14_000Heidenschap"	"loze knop (tremolo)
ventiel"	"a1 = 439 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg met twee schepbalgen en handpomp (1910)"	"65 mm"	"rechterzijde"
"Part14_000Hensbroek"	"ventiel"	"niet meetbaar"	"niet vast te stellen"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en handpomp (1907)"	"niet meetbaar"	"linkerzijde"
"Part14_000Dorkwerd"	"windlosser"	"a1 = 440 Hz (oorspronkelijk 435 Hz)"	"evenredig zwevend"	"C-f3"	"C-a"	"magazijnbalg met schepbalgen en schokbalg (1908)"	"70 mm"	"linkerzijde"
"Part14_000Benningbroek"	"manuaalkoppel
tremblant
ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3"	"C-d1"	"magazijnbalg met twee schepbalgen en balanstrapinstallatie (1907)"	"75 mm"	"rechterzijde"
"Part14_000Zweeloo"	"ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg (1904)"	"88 mm"	"linkerzijde"
"Part14_000Folsgare"	"tremulant"	"a1 = 432 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"62 mm"	"linkerzijde"
"Part14_000Uden"	"koppelingen I-II, Ped-I, Ped-II
vaste combinaties PP P MF F TT
vrije combinatie
autom. pianopedaal
generaal crescendo
trede zwelkast Man II"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-d1"	"Magazijnbalg met één regulateur"	"HW en ZwW 90 mm, Ped 100 mm"	"vrijstaande speeltafel loodrecht op de balustrade; organist zit met zijn rug tegen de linker kas"
"Part14_000MedemblikRK"	"koppelingen (als treden) I-II, I-I 4', Ped-I, Ped-II
vaste combinaties P F Tutti
automatisch pedaal
tremolo
trede zwelkast"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met regulateur (1905/1909)"	"HW en Ped 90 mm, ZwW 96 mm"	"vrijstaande speeltafel tussen de beide kassen"
"Part14_000Utrecht"	"koppelingen I-II, I-III, II-III, I-III 16', Ped-I, Ped-II, Ped-III
vaste combinaties PP P MF F Tutti
vrije combinatie
automatisch pedaal
generaal crescendo
trede zwelkast Man II en III"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"drie magazijnbalgen en één regulateur (1903)"	"Hoofdbalg (speelwind) 110 mm, Ped, Man I, II en III 88 mm"	"vrijstaande speeltafel midden voor het orgel"
"Part14_000Musselkanaal"	"manuaalkoppel"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-a"	"magazijnbalg met twee schepbalgen en handpomp (1903)"	"74 mm"	"linkerzijde"
"Part14_000Warfhuizen"	"koppel (manuaalkoppel)
ventiel"	"a1 = 465 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"magazijnbalg met twee schepbalgen en handpomp (1910)"	"85 mm"	"linkerzijde"
"Part14_000WassenaarRK"	"koppelingen I-II, I-III, II-III, Ped-I, Ped-II, Ped-III
vaste combinaties P MP MF F Tutti
vrije combinatie
automatisch pedaal
tongwerk af
generaal crescendo
trede zwelkast Man III"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg met twee zwemmerbalgen"	"Man I 94 mm, Man II 96 mm, Man III en Ped 85 mm"	"vrijstaande speeltafel midden voor het orgel"
"Part14_000Rotterdam-OverschieRK"	"koppelingen HW-ZwW, Octaafkoppel HW, Ped-HW, Ped-ZwW
vaste combinaties P F Tutti, Annulator
trede zwelkast"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met in- en uitspringende vouw in de torenkamer"	"@@ mm"	"vrijstaande speeltafel midden voor het orgel"
"Part14_000Rotterdam-Overschie"	"koppelingen II-I, Ped-I, Ped-II
vaste combinaties: P MF F Tutti
tremulant ZW
trede zwelkast"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en regulateurbalg voor HW+BW (1910)"	"frontpijpen en Ped 110 mm, HW en BW 95 mm"	"vrijstaande speeltafel rechts van het orgel"
"Part14_000Callantsoog"	"pedaalkoppel"	"a1 = 4   Hz"	"evenredig zwevend"	"C-f3"	"C-h"	"regulateur"	"mm"	"linkerzijde"
"Part14_000DordrechtRem"	"koppelingen HW-ZwW, HW-ZwW 16', Ped-HW, Ped-ZwW
vaste combinaties p, mf, f, ff, oplosser
tremolo ZwW
crescendotrede ZwW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en twee regulateurs"	"82 mm"	"vrijstaande speeltafel"
"Part14_000Wilhelminaoord"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"80 mm"	"linkerzijde"
"Part14_000Oosterland"	"Octaafkoppel D"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en handpomp (1905)"	"70 mm"	"rechterzijde"
"Part14_000TenBoer"	"manuaalkoppel, koppel Ped-HW, koppel Ped-BW
tremulant"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"magazijnbalg met twee schepbalgen en handpomp (1907) met schwimmerbalg"	"90 mm"	"rechterzijde"
"Part14_000NieuwleusenReh"	"manuaalkoppel
pedaalkoppel"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg (ca 1904)"	"80 mm"	"linkerzijde"
"Part14_000Simonshaven"	"tirasse"	"a1 = 440 Hz"	"¼ komma middentoon"	"C-g3"	"C-f1"	"schwimerbalg"	"mm"	"linkerzijde"
"Part14_000Ureterp"	"ventil"	"a1 = 436 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg met twee schepbalgen en handpomp (1904)"	"74 mm"	"linkerzijde"
"Part14_000Obdam"	"koppel HW-NW
afsluiting voor de Bourdon
ventiel"	"niet meetbaar"	"niet vast te stellen"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en handpomp (1902)"	"niet meetbaar"	"linkerzijde"
"Part14_000Eelde"	"manuaalkoppel, pedaalkoppel
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-d1"	"magazijnbalg"	"mm"	"rechterzijde"
"Part14_000Nieuwland"	"windlosser"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg met twee schepbalgen en handpomp (1908)"	"65 mm"	"linkerzijde"
"Part14_000BalkRK"	""	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg (1906)"	"76 mm"	"linkerzijde"
"Part14_000Nes"	"tremulant
ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en handpomp (1906)"	"mm"	"linkerzijde"
"Part14_000Benthuizen"	"tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-h"	"magazijnbalg"	"88 mm"	"linkerzijde"
"Part14_000Bierum"	"tremulant
ventiel
afsluiting"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen (1910)"	"88 mm"	"linkerzijde"
"Part14_000Zuidwolde"	"koppelingen HW-NW, Ped-HW, Ped-NW
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"twee regulateurs"	"95 mm"	"linkerzijde"
"Part14_000Scherpenisse"	"manuaalkoppel
tremulant BW
ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en trapinstallatie (1907)"	"80 mm"	"linkerzijde"
"Part14_000Warffum"	"pedaalkoppel
tremulant"	"a1 = 448 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en hefboom (1876)"	"67 mm"	"rechterzijde"
"Part14_000NieuwleusenHerv"	"pedaalkoppel
tremulant
calcant"	"a1 = 438 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"twee regulateurs"	"mm"	"linkerzijde"
