id,name,city,country,extra_information,website,active_from,active_till,created_at,updated_at
69,"Albertus van Gruissen",NULL,NULL,NULL,NULL,NULL,NULL,"2021-01-08 16:10:03","2021-01-08 16:10:03"
70,"B.J. Gabry",NULL,NULL,NULL,NULL,NULL,NULL,"2021-01-08 16:12:25","2021-01-08 16:12:25"
71,Geese,NULL,NULL,NULL,NULL,NULL,NULL,"2021-01-08 17:36:54","2021-01-08 17:36:54"
72,"Dirk Ypma",NULL,NULL,NULL,NULL,NULL,NULL,"2021-01-08 17:37:23","2021-01-08 17:37:23"
73,"Fa. Vermeulen",NULL,NULL,NULL,NULL,NULL,NULL,"2021-01-08 17:38:18","2021-01-08 17:38:18"
74,"Gebr. Vermeulen",NULL,NULL,NULL,NULL,NULL,NULL,"2021-01-08 17:38:41","2021-01-08 17:38:41"
75,Adema-Schreurs,NULL,NULL,NULL,NULL,NULL,NULL,"2021-01-08 21:19:45","2021-01-08 21:19:45"
76,"A.S.J. Dekker",NULL,NULL,NULL,NULL,NULL,NULL,"2021-01-08 21:55:16","2021-01-08 21:55:16"
77,"Gerrit van Leeuwen",NULL,NULL,NULL,NULL,NULL,NULL,"2021-01-08 22:04:26","2021-01-08 22:21:44"
78,"Wim Westerveld",NULL,NULL,"<p>Werkplaats Apostolisch Genootschap</p>",NULL,NULL,NULL,"2021-01-08 22:06:09","2021-01-08 22:06:09"
79,"Anton Pels",NULL,NULL,NULL,NULL,NULL,NULL,"2021-01-10 17:29:59","2021-01-10 17:29:59"
80,"Adema´s Kerkorgelbouw",NULL,NULL,NULL,NULL,NULL,NULL,"2021-01-10 17:43:34","2021-01-10 17:43:34"
81,"Gebroeders Van Vulpen",NULL,NULL,NULL,NULL,NULL,NULL,"2021-01-10 21:26:44","2021-01-10 21:26:44"
82,"A. Nijsse & Zn",NULL,Nederland,NULL,NULL,NULL,NULL,"2021-01-10 21:33:06","2021-01-10 21:33:06"
83,"Hans Martin",NULL,NULL,NULL,NULL,NULL,NULL,"2021-01-10 22:06:05","2021-01-10 22:06:05"
84,"Peter Kraul",NULL,Duitsland,NULL,NULL,NULL,NULL,"2021-01-11 21:23:01","2021-01-11 21:23:01"
85,"Frederik Samuel Naber",NULL,Nederland,NULL,NULL,NULL,NULL,"2021-01-13 09:57:35","2021-01-13 09:57:35"
86,"Arie Hoogenboezem",NULL,Nederland,NULL,NULL,NULL,NULL,"2021-01-13 11:51:49","2021-01-13 11:51:49"
87,"Carl Friedrich August Naber",NULL,Nederland,NULL,NULL,NULL,NULL,"2021-01-13 12:15:17","2021-01-13 12:15:17"
88,"Pieter Assendelft",NULL,Nederland,NULL,NULL,NULL,NULL,"2021-01-13 12:55:49","2021-01-13 12:55:49"
89,"Bernard Pels",NULL,Nederland,NULL,NULL,NULL,NULL,"2021-01-13 15:14:52","2021-01-13 15:14:52"
90,"Van den Berg & Wendt",NULL,Nederland,NULL,NULL,NULL,NULL,"2021-01-13 15:18:29","2021-01-13 15:18:44"
91,"Friedrich Leichel",NULL,nederland,NULL,NULL,NULL,NULL,"2021-01-13 17:15:43","2021-01-13 17:15:43"
92,"Wed. L. Ypma",NULL,NULL,NULL,NULL,NULL,NULL,"2021-01-13 22:16:15","2021-01-13 22:16:15"
93,"Christian Gottlieb Friedrich Witte",NULL,Nederland,NULL,NULL,NULL,NULL,"2021-01-15 21:31:46","2021-01-15 21:31:46"
94,"Gebroeders Spanjaard",NULL,NULL,NULL,NULL,NULL,NULL,"2021-01-15 21:34:26","2021-01-15 21:34:26"
95,"J.P. Smit",NULL,NULL,NULL,NULL,NULL,NULL,"2021-01-15 21:52:42","2021-01-15 21:52:42"
96,"Peter Jansz. de Swart",NULL,NULL,NULL,NULL,1560-06-15,1597-01-01,"2021-02-07 22:23:35","2021-02-07 22:23:35"
97,"Claes Jansz",NULL,NULL,NULL,NULL,NULL,NULL,"2021-02-07 22:30:57","2021-02-07 22:30:57"
98,"Jan Jacobsz. van Lin",NULL,NULL,NULL,NULL,NULL,NULL,"2021-02-07 22:32:58","2021-02-07 22:32:58"
99,"Levinus Eekman",NULL,NULL,NULL,NULL,NULL,NULL,"2021-02-07 22:37:29","2021-02-07 22:37:29"
100,"Jacobus van Hagerbeer",NULL,NULL,NULL,NULL,NULL,NULL,"2021-02-08 16:25:09","2021-02-08 16:30:47"
101,"Jacob Crabbe",NULL,NULL,NULL,NULL,NULL,NULL,"2021-02-08 23:01:56","2021-02-08 23:01:56"
102,"Johannes Slegel",NULL,NULL,NULL,NULL,NULL,NULL,"2021-02-08 23:04:04","2021-02-08 23:04:04"
103,"Johannes Duytschot",NULL,NULL,NULL,NULL,NULL,NULL,"2021-02-08 23:11:37","2021-02-08 23:11:37"
104,"Hendrikus Hermanus Hess",NULL,Nederland,NULL,NULL,NULL,NULL,"2021-02-19 20:15:02","2021-02-19 20:15:02"
105,"Johannes Winkels",NULL,Duitsland,NULL,NULL,NULL,NULL,"2021-02-19 20:43:26","2021-02-19 20:43:26"
106,"Ehrenfried Leichel",NULL,nederland,NULL,NULL,NULL,NULL,"2021-03-05 21:42:39","2021-03-05 22:17:39"
107,"Berend Jan van Eldik",NULL,nederland,NULL,NULL,NULL,NULL,"2021-03-05 21:54:29","2021-03-05 21:54:29"
108,"D.J. Robbemondt",NULL,Nederland,NULL,NULL,NULL,NULL,"2021-03-05 21:57:42","2021-03-05 21:57:42"
109,"J.C. Sanders",NULL,Nederland,NULL,NULL,NULL,NULL,"2021-03-05 22:02:01","2021-03-05 22:02:01"
110,"Albert Hendrik de Graaf",NULL,Nederland,NULL,NULL,NULL,NULL,"2021-03-05 22:04:36","2021-03-05 22:04:36"
111,"R. Ibach",NULL,"Barmen Duitsland",NULL,NULL,1794-01-01,1904-01-01,"2021-03-09 14:40:16","2021-03-17 15:02:09"
112,"A.M.T van Ingen",NULL,Haarlem,NULL,NULL,1874-01-01,1914-01-01,"2021-03-16 20:26:30","2021-03-16 20:26:30"
113,"Jan Proper",NULL,Kampen,NULL,NULL,1886-01-01,NULL,"2021-03-24 20:19:45","2021-03-24 20:19:45"
114,"Joachim Reichner",NULL,NULL,NULL,NULL,NULL,NULL,"2021-06-29 22:18:25","2021-06-29 22:20:52"
115,"Johannes van Overbeek en Zn",NULL,NULL,NULL,NULL,NULL,NULL,"2021-06-29 22:18:45","2021-06-29 22:21:49"
116,"Gebroeders De Rijckere",NULL,NULL,"<p>Petrus Josephus en Johannes De Rijckere</p>",NULL,NULL,NULL,"2021-06-29 22:19:55","2021-06-29 22:19:55"
117,"Jan Proper",NULL,Kampen,NULL,NULL,1886-01-01,NULL,"2021-09-28 15:15:21","2021-09-28 15:15:21"
118,"J.C. Bishop & Son",ipswich@bishopandson.com,"Ipswich UK","<p>Bishop &amp; Son heeft ook een locatie in London</p>",NULL,1795-01-01,2021-10-04,"2021-10-04 13:57:55","2021-10-04 13:57:55"
119,"J.C. Bishop & Son",ipswich@bishopandson.com,"Ipswich UK","<p>Bishop &amp; Son heeft ook een locatie in London</p>",NULL,1795-01-01,2021-10-04,"2021-10-04 15:06:48","2021-10-04 15:06:48"
120,"William Holt & Son",NULL,"Halifax UK",NULL,NULL,1838-01-01,NULL,"2021-10-04 15:15:17","2021-10-04 15:15:17"
121,"Christopher Dickens",NULL,NULL,NULL,NULL,NULL,NULL,"2021-10-04 17:56:47","2021-10-04 17:56:47"
122,"Petrus van Oeckelen",NULL,NULL,NULL,NULL,NULL,NULL,"2021-10-12 14:02:32","2021-10-12 14:02:32"
123,"Petrus van Oeckelen",NULL,NULL,NULL,NULL,NULL,NULL,"2021-10-12 14:12:42","2021-10-12 14:12:42"
124,"H. Vegter",NULL,NULL,NULL,NULL,NULL,NULL,"2021-10-12 14:12:58","2021-10-12 14:12:58"
125,"A.J. Opten",NULL,NULL,NULL,NULL,NULL,NULL,"2021-10-12 14:17:13","2021-10-12 14:17:13"
126,"Orgelmakerij Bakker & Timmenga",NULL,Nederland,NULL,NULL,NULL,NULL,"2021-10-12 14:20:44","2021-10-12 14:20:44"
127,"Petrus van Oeckelen",NULL,NULL,NULL,NULL,NULL,NULL,"2021-10-12 14:52:15","2021-10-12 14:52:15"
128,"Mense Ruiter Orgelmakers",NULL,Nederland,NULL,NULL,NULL,NULL,"2021-10-12 14:52:28","2021-10-12 14:52:28"
129,"Pieter Maarschalkerweerd",NULL,Utrecht,NULL,NULL,NULL,NULL,"2021-10-12 17:58:12","2021-10-12 17:58:12"
130,"Jac. van der Linden & Co.",NULL,Leiderdorp,NULL,NULL,NULL,NULL,"2021-10-13 14:00:49","2021-10-13 14:00:49"
131,"L. Ypma",NULL,Alkmaar,NULL,NULL,1853-01-01,1914-01-01,"2021-10-14 08:49:52","2021-10-14 08:49:52"
132,"Gebrüder Euler",NULL,Gottsburen,NULL,NULL,NULL,NULL,"2021-10-14 13:34:05","2021-10-14 13:34:05"
133,"B. Koch",NULL,Apeldoorn,NULL,NULL,NULL,NULL,"2021-10-14 15:39:33","2021-10-14 15:39:33"
134,"H.B. Scheuerman",NULL,Rotterdam,NULL,NULL,NULL,2014-09-14,"2021-10-15 15:18:00","2021-10-15 15:18:00"
135,"Foster & Andrews",NULL,"Hull  (UK)",NULL,NULL,NULL,NULL,"2021-11-01 09:38:10","2021-11-01 09:38:10"
136,"C. Shorton",NULL,UK,NULL,NULL,NULL,NULL,"2021-11-01 09:42:16","2021-11-01 09:42:16"
137,"N. Mackereth, I. Winder, C. Shornton",NULL,UK,NULL,NULL,NULL,NULL,"2021-11-01 09:43:45","2021-11-01 09:43:45"
138,"Hendriksen & Reitsma",info@hendriksen-reitsma.nl,Nunspeet,NULL,NULL,NULL,NULL,"2021-11-01 10:10:59","2021-11-01 10:10:59"
139,"Gebroeders Adema",NULL,"1855-1877 Leeuwarden en vanaf 1868 Amsterdam",NULL,NULL,NULL,NULL,"2021-11-06 13:57:10","2021-11-06 13:57:10"
140,"William Pilcher",NULL,UK,NULL,NULL,NULL,NULL,"2021-11-07 19:22:10","2021-11-07 19:22:10"
141,"August Gern",NULL,London,NULL,NULL,NULL,NULL,"2021-11-07 19:30:41","2021-11-07 19:30:41"
142,"Rushworth & Draper",NULL,Liverpool,NULL,NULL,NULL,NULL,"2021-11-07 19:38:34","2021-11-07 19:38:34"
143,"Bishop & Son",NULL,Ipswich,NULL,NULL,NULL,NULL,"2021-11-07 19:42:03","2021-11-07 19:42:03"
144,"J. de Boer",NULL,NULL,NULL,NULL,NULL,NULL,"2021-11-07 19:46:04","2021-11-07 19:46:04"
145,"Goetze & Gwynn",NULL,"Welbeck UK",NULL,NULL,NULL,NULL,"2021-11-08 09:48:22","2021-11-08 09:48:22"
146,"Franciscus Cornelus Smits I",NULL,Nederland,"<p>Orgelmaker in Reek (1800-1876).</p>",NULL,NULL,NULL,"2021-11-09 14:06:26","2021-11-09 14:06:26"
147,"Franciscus Cornelus Smits I",NULL,Nederland,"<p>Orgelmaker in Reek (1800-1876).</p>",NULL,NULL,NULL,"2021-11-09 14:07:03","2021-11-09 14:07:03"
148,"Franciscus Cornelus Smits II",NULL,Nederland,"<p>Orgelmaker in Reek (1834-1918).</p>",NULL,NULL,NULL,"2021-11-09 14:08:48","2021-11-09 14:08:48"
149,"Joseph Adema",NULL,Nederland,NULL,NULL,NULL,NULL,"2021-11-10 15:10:52","2021-11-10 15:10:52"
150,"Schmidt & Tuinman",NULL,"Den Helder",NULL,NULL,NULL,NULL,"2021-11-11 16:13:47","2021-11-11 16:13:47"
151,"Peter Conacher & Co (The Old Firm)",NULL,NULL,NULL,NULL,NULL,NULL,"2021-11-15 16:00:15","2021-11-15 16:00:15"
152,"J. Spanjaard",NULL,Alkmaar,NULL,NULL,NULL,NULL,"2021-11-20 09:42:37","2021-11-20 09:42:37"
153,"L. Ypma",NULL,Alkmaar,NULL,NULL,NULL,NULL,"2021-11-21 10:23:25","2021-11-21 10:23:25"
154,"H.J. Vierdag",NULL,Enschede,NULL,NULL,1946-01-01,1981-01-01,"2021-11-21 14:09:39","2021-11-21 14:09:39"
155,"Louis J. Kramer & Zn",NULL,Boskoop,NULL,NULL,1936-01-01,2003-01-01,"2021-11-21 14:21:32","2021-11-21 14:21:32"
156,"Ide Boogaard",info@orgelmakerijboogaard.nl,Rijssen,NULL,NULL,1992-01-01,NULL,"2021-11-22 08:22:05","2021-11-22 08:22:05"
157,"Fonteyn en Gaal",NULL,Amsterdam/Kampen,"<p>In 1971 heeft Fonteyn het bedrijf verhuisd naar Kampen</p>",NULL,1950-01-01,1979-01-01,"2021-11-24 16:23:23","2021-11-24 16:23:23"
158,"N.V. v/h P. van Dam",NULL,Leeuwarden,NULL,NULL,1917-01-01,1931-01-01,"2021-11-29 19:13:50","2021-11-29 19:13:50"
159,"Fama & Raadgever",NULL,Utrecht,NULL,NULL,1963-01-01,1995-12-31,"2021-12-02 09:50:54","2021-12-02 09:50:54"
160,"Fama & Raadgever",NULL,Utrecht,NULL,NULL,1963-01-01,1995-12-31,"2021-12-02 10:00:04","2021-12-02 10:00:04"
161,"P. Raadgever",NULL,Utrecht,NULL,NULL,NULL,NULL,"2021-12-02 10:00:28","2021-12-02 10:00:28"
162,"H.D. Lindsen",NULL,Utrecht,NULL,NULL,NULL,NULL,"2021-12-03 15:52:06","2021-12-03 15:52:06"
163,"P.J. Adema",NULL,Amsterdam,NULL,NULL,NULL,NULL,"2021-12-04 10:52:53","2021-12-04 10:52:53"
164,"Jukius Alexander Strobel",NULL,Frankenhausen,NULL,NULL,1842-01-01,1914-01-01,"2021-12-08 15:54:18","2021-12-08 15:54:18"
165,"K.P. van Ingen",NULL,Haarlem,NULL,NULL,NULL,NULL,"2021-12-11 10:37:42","2021-12-11 10:37:42"
166,"Sicco Steendam",info@orgelmakerijsteendam.nl,Roodeschool,NULL,NULL,1986-01-01,NULL,"2021-12-11 19:33:40","2021-12-11 19:33:40"
167,"Johannes Petrus Künckel",NULL,NULL,NULL,NULL,NULL,NULL,"2021-12-12 15:29:41","2021-12-12 15:29:41"
168,"K.B. Blank & Zoon",NULL,Herwijnen,NULL,NULL,NULL,NULL,"2021-12-12 15:57:26","2021-12-12 15:57:26"
169,"Emil Hammer",orgelbau@emil-hammer.de,Hannover/Hemmingen,NULL,NULL,NULL,NULL,"2021-12-17 15:26:48","2021-12-17 15:26:48"
170,"L. Ypma & Co",NULL,Alkmaar,NULL,NULL,NULL,NULL,"2021-12-20 10:25:26","2021-12-20 10:25:26"
171,"J.H.H. Bätz",NULL,Utrecht,NULL,NULL,1739-01-01,1770-01-01,"2021-12-25 11:26:25","2021-12-25 11:26:25"
172,"Jonathan Bätz",NULL,Utrecht,NULL,NULL,1820-01-01,1849-01-01,"2021-12-25 13:07:31","2021-12-25 13:07:31"
173,"C.H. van Brussel",NULL,NULL,NULL,NULL,NULL,NULL,"2021-12-28 10:07:02","2021-12-28 10:07:02"
174,"G. Smidt",NULL,NULL,NULL,NULL,NULL,NULL,"2021-12-29 13:44:30","2021-12-29 13:44:30"
175,"Klop Early Keyboard Instruments",mail@klop.info,Garderen,NULL,NULL,1966-01-01,NULL,"2021-12-29 19:57:49","2021-12-29 19:57:49"
176,"Abraham Meere",NULL,NULL,NULL,NULL,1779-01-01,1841-01-01,"2022-01-03 10:19:50","2022-01-03 10:19:50"
177,"Jan van Gelder",NULL,Leiden,NULL,NULL,NULL,NULL,"2022-01-05 19:59:01","2022-01-05 19:59:01"
178,"Wed. J, van Gelder",NULL,Leiden,NULL,NULL,NULL,NULL,"2022-01-05 20:08:11","2022-01-05 20:08:11"
179,"Ehrenfried Leichel",NULL,nederland,NULL,NULL,NULL,NULL,"2022-01-10 10:38:18","2022-01-10 10:38:18"
